date,1. open,2. high,3. low,4. close,5. volume
2024-12-12,500.0,501.095,488.71,496.58,1863009.0
2024-12-11,513.8,514.0,503.305,504.24,1307967.0
2024-12-10,509.16,514.6099,508.1,512.94,1178870.0
2024-12-09,511.19,516.3608,508.55,510.01,1170477.0
2024-12-06,515.72,517.44,509.6,513.03,1285011.0
2024-12-05,517.42,520.56,514.01,517.48,1113691.0
2024-12-04,516.13,519.826,513.14,517.5,1543010.0
2024-12-03,520.14,521.5,516.2501,517.0,1188389.0
2024-12-02,525.25,526.785,519.3,520.34,1115967.0
2024-11-29,527.77,529.48,524.59,529.41,658246.0
2024-11-27,523.54,529.99,523.17,525.75,890394.0
2024-11-26,519.39,524.06,519.39,521.45,1345788.0
2024-11-25,532.98,534.16,514.9,521.89,3613491.0
2024-11-22,545.0,546.0,539.92,542.22,1311155.0
2024-11-21,535.14,544.68,533.715,542.01,1321954.0
2024-11-20,534.18,535.23,529.2,534.73,994374.0
2024-11-19,537.08,539.32,531.21,533.26,936050.0
2024-11-18,536.4,537.98,528.738,530.96,1298755.0
2024-11-15,537.87,542.54,531.4237,534.83,1757312.0
2024-11-14,561.35,561.35,533.785,538.99,1972732.0
2024-11-13,564.0,565.0,556.3301,557.73,1118648.0
2024-11-12,574.32,576.43,564.8,565.96,1133912.0
2024-11-11,570.22,576.1499,569.8,570.58,1171364.0
2024-11-08,555.47,566.8099,554.72,564.56,1166089.0
2024-11-07,555.0,556.9999,549.67,551.84,818596.0
2024-11-06,561.4,561.4,540.0001,551.82,1751305.0
2024-11-05,545.0,547.17,542.0,546.75,610142.0
2024-11-04,545.7,548.81,540.41,543.1,827556.0
2024-11-01,548.0,549.33,544.62,545.35,792756.0
2024-10-31,547.04,551.6799,542.675,546.05,1245472.0
2024-10-30,546.9,551.26,543.2,545.94,1005163.0
2024-10-29,552.8,553.4,546.41,546.8,1041740.0
2024-10-28,563.0,563.155,554.495,555.17,1278667.0
2024-10-25,566.7,569.9799,561.1,562.29,1077563.0
2024-10-24,570.73,573.93,564.18,564.21,1102782.0
2024-10-23,577.02,582.18,571.0,571.1,1402177.0
2024-10-22,606.9,608.34,574.0001,576.98,2259193.0
2024-10-21,615.64,618.95,611.36,614.61,1017480.0
2024-10-18,611.39,613.3699,608.49,611.81,864086.0
2024-10-17,612.83,614.4799,607.24,609.62,617493.0
2024-10-16,603.0,613.01,602.62,612.83,549404.0
2024-10-15,612.5,614.62,603.72,605.0,849839.0
2024-10-14,606.0,611.99,603.7752,610.87,562291.0
2024-10-11,600.58,604.55,600.0871,604.17,526025.0
2024-10-10,606.11,607.29,596.22,597.49,853770.0
2024-10-09,606.71,607.14,603.02,605.11,543837.0
2024-10-08,607.22,610.7499,603.09,608.05,571794.0
2024-10-07,607.0,611.59,604.0,605.54,1102382.0
2024-10-04,603.66,606.29,599.32,605.13,560051.0
2024-10-03,604.44,609.0,601.0001,605.82,856577.0
2024-10-02,604.94,610.0,601.4225,603.2,1192488.0
2024-10-01,586.12,611.49,581.91,605.86,2356212.0
2024-09-30,584.14,584.95,579.21,584.56,975501.0
2024-09-27,577.65,584.0734,575.33,582.36,848122.0
2024-09-26,575.0,582.53,574.44,577.4,746294.0
2024-09-25,581.56,583.75,576.8648,577.94,844517.0
2024-09-24,578.93,581.16,576.15,578.63,690123.0
2024-09-23,571.5,581.75,570.82,580.51,884699.0
2024-09-20,563.08,573.5,562.94,571.92,3794353.0
2024-09-19,566.47,567.525,562.1629,565.18,917669.0
2024-09-18,566.32,569.54,562.28,565.49,731817.0
2024-09-17,566.66,568.11,563.6001,567.01,739890.0
2024-09-16,574.41,577.0,568.9901,572.92,597813.0
2024-09-13,567.0,572.4554,564.53,569.91,638809.0
2024-09-12,565.0,568.97,563.9,568.27,739418.0
2024-09-11,571.2,572.41,561.0701,566.96,809242.0
2024-09-10,577.56,577.8525,570.42,572.19,756528.0
2024-09-09,567.51,578.0,567.48,576.57,810168.0
2024-09-06,569.05,572.11,564.95,566.63,976688.0
2024-09-05,575.2,575.92,564.41,568.59,841029.0
2024-09-04,569.34,578.73,568.72,574.78,893848.0
2024-09-03,567.33,572.0,565.19,567.22,1267110.0
2024-08-30,564.97,569.09,562.55,568.1,1082809.0
2024-08-29,564.0,568.57,563.0,566.85,662462.0
2024-08-28,562.2,568.73,561.78,563.98,829310.0
2024-08-27,559.45,562.1901,557.02,560.41,749831.0
2024-08-26,556.11,560.14,556.11,558.1,795360.0
